zone_id,SD,ZONE,COUNTY,AGREMPN,FPSEMPN,HEREMPN,RETEMPN,TOTEMP,MWTEMPN,OTHEMPN,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,SHPOP62P,TOTHH,GQPOP,MFDU,SFDU,CIACRE_UNWEIGHTED,RESACRE_UNWEIGHTED,CIACRE,RESACRE,TOTACRE,HHPOP,TOTPOP,EMPRES,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,total_job_spaces,total_residential_units
1,1,1,1,17.0,16566.0,1966.0,248.0,21892.0,830.0,2265.0,16.0,14.0,5.0,8.0,0.238,43.0,8,60.0,1.0,9.14991145662,2.54006108887,15.0,1.0,20.3,69.0,77.0,30.0,3.0,6.0,29.0,26.0,13.0,29487.0,61.0
2,1,2,1,60.0,25359.0,3978.0,487.0,33612.0,855.0,2873.0,64.0,40.0,15.0,12.0,0.238,131.0,25,147.0,5.0,15.0639055692,3.84589397024,24.0,1.0,31.1,209.0,234.0,94.0,8.0,18.0,88.0,78.0,42.0,44877.0,152.0
3,1,3,1,,731.0,953.0,108.0,2003.0,38.0,173.0,117.0,76.0,38.0,23.0,0.238,254.0,46,285.0,9.0,7.30323636572,1.79219463656,2.0,1.0,14.7,406.0,452.0,183.0,15.0,36.0,169.0,152.0,80.0,2868.0,294.0
4,1,4,1,118.0,10780.0,3074.0,452.0,17831.0,1502.0,1905.0,47.0,43.0,21.0,20.0,0.238,131.0,13,210.0,6.0,9.09633124488,2.92244595288,18.0,1.0,19.3,207.0,220.0,88.0,7.0,18.0,83.0,73.0,39.0,23745.0,216.0
5,1,5,1,5.0,3973.0,5522.0,2374.0,13388.0,421.0,1093.0,246.0,153.0,90.0,71.0,0.238,560.0,90,671.0,22.0,21.2856709717,10.921042807,15.0,1.00000000002,52.7,891.0,981.0,391.0,33.0,79.0,365.0,330.0,174.0,19056.0,693.0
6,1,6,1,1.0,528.0,2078.0,147.0,3417.0,33.0,630.0,880.0,771.0,321.0,190.0,0.142,2162.0,616,2406.0,0.0,7.529699093,12.5485206927,8.0,7.0,29.0,3192.0,3808.0,1760.0,74.0,216.0,2229.0,904.0,385.0,5074.0,2406.0
7,1,7,1,1.0,5369.0,4761.0,255.0,11019.0,113.0,520.0,1817.0,1097.0,470.0,267.0,0.191,3651.0,445,4174.0,0.0,13.7993203722,15.7452664395,14.0,13.0,45.0,5390.0,5835.0,2938.0,167.0,410.0,2612.0,1843.0,803.0,17470.0,4174.0
8,1,8,1,7.0,1219.0,1706.0,373.0,3949.0,62.0,582.0,2936.0,958.0,373.0,196.0,0.25,4463.0,2214,4898.0,19.0,10.9422549574,17.1827909317,15.0,8.3304220082,51.0,7359.0,9573.0,3060.0,376.0,846.0,3068.0,3496.0,1787.0,6081.0,4917.0
9,1,9,1,5.0,4039.0,8798.0,129.0,25650.0,389.0,12290.0,2582.0,1392.0,663.0,295.0,0.163,4932.0,640,5504.0,35.0,41.7116556156,22.4281690683,47.0,9.27506988543,112.0,8434.0,9074.0,3795.0,370.0,920.0,4345.0,2369.0,1070.0,34851.0,5539.0
10,1,10,1,2.0,1553.0,2743.0,140.0,9072.0,251.0,4383.0,2236.0,495.0,300.0,176.0,0.148,3207.0,97,3578.0,5.0,25.18212225,18.5041859197,35.0,9.34243786751,73.5,5517.0,5614.0,2769.0,160.0,494.0,2447.0,1974.0,539.0,12164.0,3583.0
