zone_id,SD,ZONE,COUNTY,AGREMPN,FPSEMPN,HEREMPN,RETEMPN,TOTEMP,MWTEMPN,OTHEMPN,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,SHPOP62P,TOTHH,GQPOP,MFDU,SFDU,CIACRE_UNWEIGHTED,RESACRE_UNWEIGHTED,CIACRE,RESACRE,TOTACRE,HHPOP,TOTPOP,EMPRES,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,total_job_spaces,total_residential_units
1,1,1,1,18.0,22915.0,2396.0,221.0,29102.0,698.0,2854.0,9.0,14.0,10.0,17.0,0.238,50.0,9,60.0,1.0,9.14991145662,2.54006108887,15.0,1.0,20.3,81.0,90.0,37.0,3.0,7.0,31.0,29.0,20.0,29487.0,61.0
2,1,2,1,62.0,35196.0,4801.0,425.0,44876.0,726.0,3666.0,41.0,29.0,30.0,47.0,0.238,147.0,30,155.0,5.0,15.828155166,3.87461727278,24.7642495968,1.02872330254,31.1,234.0,264.0,108.0,8.0,19.0,91.0,85.0,61.0,44867.0,160.0
3,1,3,1,0.0,1292.0,983.0,98.0,2706.0,34.0,299.0,75.0,72.0,66.0,70.0,0.238,283.0,54,285.0,9.0,7.62122695076,1.79219463656,2.31799058504,1.0,14.7,452.0,506.0,217.0,16.0,37.0,175.0,162.0,116.0,2868.0,294.0
4,1,4,1,121.0,16076.0,3293.0,394.0,23252.0,1247.0,2121.0,31.0,53.0,31.0,49.0,0.238,164.0,15,210.0,6.0,9.09633124488,2.92244595288,18.0,1.0,19.3,259.0,274.0,115.0,8.0,20.0,95.0,88.0,63.0,23745.0,216.0
5,1,5,1,5.0,6599.0,5624.0,2083.0,16783.0,371.0,2101.0,175.0,143.0,122.0,235.0,0.238,675.0,106,695.0,22.0,21.19556958,11.0111441987,15.0,1.09010139174,52.7,1075.0,1181.0,472.0,37.0,87.0,407.0,379.0,271.0,19017.0,717.0
6,1,6,1,1.0,971.0,2029.0,142.0,4098.0,30.0,925.0,717.0,642.0,508.0,590.0,0.142,2457.0,729,2557.0,0.0,7.16425801041,12.9139617752,8.0,7.36544108254,29.0,3629.0,4358.0,2126.0,79.0,234.0,2439.0,1018.0,588.0,4921.0,2557.0
7,1,7,1,1.0,6101.0,4916.0,246.0,13578.0,131.0,2183.0,1172.0,1136.0,819.0,927.0,0.191,4054.0,527,4174.0,0.0,13.7993203722,15.7452664395,14.0,13.0,45.0,5988.0,6515.0,3502.0,173.0,426.0,2746.0,1995.0,1175.0,17470.0,4174.0
8,1,8,1,7.0,1545.0,1782.0,341.0,4782.0,70.0,1037.0,2729.0,862.0,607.0,657.0,0.25,4855.0,2621,4941.0,19.0,10.7844246042,17.3406212849,15.0,8.4882523614,51.0,8010.0,10631.0,3776.0,379.0,859.0,3148.0,3692.0,2553.0,6055.0,4960.0
9,1,9,1,5.0,7708.0,9255.0,144.0,31681.0,378.0,14191.0,1893.0,1511.0,1242.0,1240.0,0.163,5886.0,758,6032.0,35.0,41.3558204592,22.9464167489,47.0,9.79331756595,112.0,10071.0,10829.0,4806.0,413.0,1033.0,4928.0,2765.0,1690.0,33681.0,5939.0
10,1,10,1,2.0,2820.0,2940.0,155.0,11321.0,226.0,5178.0,2514.0,1127.0,948.0,1011.0,0.148,5600.0,115,5737.0,5.0,24.5525379438,19.6972763731,35.0,10.5355283209,73.5,9639.0,9754.0,5215.0,261.0,813.0,4063.0,3373.0,1244.0,12122.0,4290.0
11,1,11,1,0.0,3306.0,2845.0,2125.0,11157.0,218.0,2663.0,1709.0,664.0,494.0,516.0,0.148,3383.0,185,3258.0,10.0,31.4140008312,16.0085273938,38.0,13.7434110015,81.0,5822.0,6007.0,3227.0,161.0,500.0,2502.0,2078.0,766.0,12110.0,3268.0
12,1,12,1,16.0,6593.0,5035.0,519.0,17091.0,288.0,4640.0,247.0,219.0,188.0,227.0,0.09,881.0,11,1029.0,0.0,28.4463921744,7.75394170697,16.0,1.16323601849,53.3,1329.0,1340.0,950.0,10.0,16.0,771.0,458.0,85.0,18924.0,1029.0
13,1,13,1,6.0,16095.0,2387.0,708.0,20567.0,183.0,1188.0,150.0,27.0,24.0,33.0,0.09,234.0,11,273.0,0.0,13.2033649452,1.84077906752,19.7960946261,1.0,26.5,357.0,368.0,262.0,3.0,4.0,211.0,126.0,24.0,20563.0,162.0
14,1,14,1,16.0,24450.0,3196.0,177.0,32894.0,1848.0,3207.0,118.0,102.0,123.0,162.0,0.09,505.0,7,552.0,0.0,17.2181177196,1.85164391462,27.3987313907,1.0,30.6,765.0,772.0,541.0,8.0,8.0,444.0,264.0,48.0,32888.0,422.0
15,1,15,1,7.0,11272.0,2119.0,139.0,16514.0,493.0,2484.0,31.0,57.0,65.0,141.0,0.09,294.0,53,319.0,0.0,10.4022482661,4.90677927723,14.0,3.0,28.5,444.0,497.0,330.0,4.0,6.0,286.0,170.0,31.0,17352.0,319.0
16,1,16,1,68.0,12520.0,5469.0,2809.0,26275.0,444.0,4965.0,4642.0,1158.0,1084.0,1517.0,0.076,8401.0,144,9129.0,15.0,36.6863549066,33.797421492,72.0,17.3641721981,123.4,13815.0,13959.0,10696.0,283.0,365.0,8867.0,3674.0,770.0,32133.0,5800.0
17,1,17,1,7.0,4046.0,1976.0,275.0,10661.0,261.0,4096.0,1328.0,801.0,891.0,1468.0,0.076,4488.0,466,4873.0,25.0,31.7386769132,44.0816937527,36.0,25.0289385102,152.3,7376.0,7842.0,5861.0,159.0,205.0,4981.0,2065.0,432.0,12661.0,4898.0
18,1,18,1,24.0,2264.0,1298.0,315.0,6743.0,419.0,2423.0,187.0,253.0,285.0,367.0,0.056,1092.0,407,1087.0,56.0,36.6335240821,21.0007725946,50.0,2.09940815624,107.3,1799.0,2206.0,1348.0,36.0,142.0,1462.0,483.0,83.0,8196.0,1143.0
19,1,19,1,3.0,2724.0,1169.0,886.0,10554.0,835.0,4937.0,397.0,141.0,166.0,232.0,0.056,936.0,247,962.0,22.0,53.8700551228,22.0703114179,74.0,14.1994600649,125.4,1539.0,1786.0,1098.0,29.0,116.0,1183.0,391.0,67.0,11490.0,570.0
20,1,20,1,1.0,1077.0,1132.0,275.0,3852.0,371.0,996.0,948.0,515.0,306.0,373.0,0.394,2142.0,386,2093.0,97.0,33.299792681,30.0703605399,35.0,15.4060716607,98.3,3570.0,3956.0,1723.0,76.0,195.0,1185.0,886.0,1614.0,4421.0,2190.0
21,1,21,1,1.0,2963.0,1974.0,358.0,7669.0,203.0,2170.0,2091.0,537.0,460.0,507.0,0.394,3595.0,459,3539.0,117.0,28.4701300869,22.384611727,44.0,15.2399318153,78.9,5994.0,6453.0,2819.0,124.0,319.0,1933.0,1445.0,2632.0,8240.0,3656.0
22,1,22,1,9.0,14563.0,4124.0,309.0,21475.0,414.0,2056.0,251.0,317.0,261.0,420.0,0.317,1249.0,21,1291.0,98.0,26.3225488575,16.6162143641,46.0,9.0,87.7,1991.0,2012.0,1157.0,28.0,37.0,500.0,837.0,610.0,22695.0,1389.0
23,1,23,1,2.0,6100.0,1871.0,233.0,11410.0,1289.0,1915.0,172.0,144.0,130.0,138.0,0.317,584.0,7,628.0,43.0,49.0666215131,10.2131394238,20.0,4.41299663674,90.8,930.0,937.0,559.0,13.0,17.0,233.0,390.0,284.0,12010.0,671.0
24,1,24,1,15.0,10839.0,2316.0,201.0,17477.0,552.0,3554.0,378.0,140.0,106.0,184.0,0.369,808.0,8,856.0,0.0,13.3918289603,9.79260598795,20.0,2.64630339476,39.0,1300.0,1308.0,465.0,37.0,55.0,256.0,485.0,475.0,18885.0,856.0
25,1,25,1,0.0,429.0,666.0,311.0,1844.0,73.0,365.0,486.0,352.0,305.0,505.0,0.41,1648.0,7,1591.0,131.0,2.88652142652,11.0981701354,4.0,4.04184603183,21.0,3620.0,3627.0,1288.0,109.0,400.0,629.0,968.0,1521.0,2276.0,1722.0
26,1,26,1,3.0,2648.0,789.0,141.0,4004.0,83.0,340.0,226.0,188.0,171.0,218.0,0.349,803.0,15,834.0,7.0,3.51864729969,5.60331320866,5.0,2.10541752259,13.0,1731.0,1746.0,677.0,50.0,173.0,413.0,492.0,618.0,4196.0,841.0
27,1,27,1,0.0,425.0,876.0,138.0,1868.0,29.0,400.0,506.0,415.0,304.0,395.0,0.369,1620.0,0,1555.0,68.0,5.00569833245,11.4440215327,6.0,8.0,26.0,3358.0,3358.0,1495.0,95.0,333.0,760.0,910.0,1260.0,2361.0,1690.0
28,1,28,1,1.0,253.0,184.0,50.0,684.0,14.0,182.0,653.0,463.0,417.0,709.0,0.269,2242.0,2,2530.0,0.0,7.55836048091,20.4952438485,5.0,20.0,44.0,3992.0,3994.0,2644.0,119.0,175.0,1462.0,1174.0,1064.0,889.0,2530.0
29,1,29,1,1.0,564.0,2341.0,43.0,3441.0,13.0,479.0,823.0,865.0,762.0,950.0,0.184,3400.0,389,3767.0,0.0,5.80338013637,19.456337832,4.0,15.2745911105,37.0,5176.0,5565.0,3310.0,106.0,222.0,2705.0,1558.0,974.0,4357.0,3767.0
30,1,30,1,1.0,452.0,815.0,124.0,2347.0,53.0,902.0,1182.0,1133.0,1000.0,1131.0,0.139,4446.0,626,4582.0,0.0,9.02636211416,19.201498851,10.0,14.1578340909,46.0,7525.0,8151.0,4328.0,343.0,704.0,3953.0,2109.0,1042.0,2882.0,4582.0
31,1,31,1,0.0,1029.0,1084.0,72.0,2560.0,34.0,341.0,756.0,706.0,607.0,754.0,0.171,2823.0,96,2935.0,10.0,4.50024902797,14.6094963072,9.0,8.53555266536,32.0,4192.0,4288.0,2465.0,130.0,249.0,2109.0,1093.0,707.0,3161.0,2945.0
32,1,32,1,0.0,740.0,1656.0,204.0,3134.0,67.0,467.0,992.0,911.0,679.0,867.0,0.212,3449.0,27,3472.0,118.0,10.2768007447,28.3408776436,13.0,21.286492827,58.0,5814.0,5841.0,4018.0,127.0,386.0,2581.0,1523.0,1224.0,3663.0,3590.0
33,1,33,1,0.0,437.0,762.0,211.0,2319.0,119.0,790.0,714.0,662.0,661.0,887.0,0.206,2924.0,12,2878.0,122.0,6.27698909035,31.3025167584,9.0,24.022609254,59.0,5733.0,5745.0,3550.0,157.0,424.0,2518.0,1479.0,1167.0,2820.0,3000.0
34,1,34,1,0.0,137.0,278.0,224.0,786.0,23.0,124.0,871.0,721.0,572.0,759.0,0.22,2923.0,1,3011.0,0.0,2.77119176329,36.2870287908,4.0,29.0,60.0,4841.0,4842.0,3408.0,100.0,169.0,2357.0,1147.0,1069.0,1018.0,3011.0
35,1,35,1,0.0,136.0,104.0,92.0,413.0,23.0,58.0,667.0,624.0,535.0,801.0,0.236,2627.0,0,2713.0,111.0,1.90966431542,34.4371292717,2.0,30.0,58.0,5182.0,5182.0,3185.0,165.0,439.0,1989.0,1371.0,1218.0,471.0,2824.0
36,1,36,1,0.0,573.0,1047.0,271.0,3043.0,90.0,1062.0,1131.0,696.0,545.0,677.0,0.38,3049.0,0,3054.0,64.0,6.29235322526,21.4047577056,7.0,14.1210841107,47.0,6183.0,6183.0,2305.0,187.0,511.0,1427.0,1656.0,2402.0,3764.0,3118.0
37,1,37,1,0.0,1549.0,925.0,172.0,3324.0,172.0,506.0,544.0,570.0,479.0,620.0,0.223,2213.0,1,2250.0,57.0,6.88768784477,20.8518304083,8.0,12.0,43.0,4306.0,4307.0,2490.0,134.0,386.0,1556.0,1300.0,931.0,3767.0,2307.0
38,1,38,1,0.0,1006.0,408.0,315.0,2562.0,66.0,767.0,852.0,620.0,628.0,872.0,0.201,2972.0,17,3145.0,47.0,9.56029351846,41.5283594558,6.0,37.9199854494,83.0,5473.0,5490.0,3699.0,192.0,328.0,2249.0,1674.0,1047.0,2886.0,3192.0
39,1,39,1,0.0,106.0,90.0,115.0,403.0,7.0,85.0,467.0,561.0,527.0,702.0,0.238,2257.0,0,2235.0,151.0,5.31625914073,36.0280685762,6.0,31.0,67.0,4323.0,4323.0,2498.0,154.0,277.0,1689.0,1182.0,1021.0,405.0,2386.0
40,1,40,1,2.0,797.0,2019.0,922.0,5693.0,1183.0,770.0,668.0,713.0,574.0,865.0,0.217,2820.0,6,3007.0,0.0,37.9742858695,50.3179723887,28.0,43.0836501989,128.0,4621.0,4627.0,3140.0,118.0,131.0,2119.0,1279.0,980.0,7324.0,3007.0
41,1,41,1,2.0,3938.0,6167.0,713.0,13948.0,1008.0,2120.0,876.0,417.0,373.0,539.0,0.237,2205.0,17,2163.0,111.0,88.6053794817,36.5030893952,90.0,20.0,183.0,3959.0,3976.0,2179.0,93.0,251.0,1692.0,991.0,949.0,16867.0,2274.0
42,1,42,1,1.0,879.0,1487.0,7.0,3400.0,76.0,950.0,6316.0,1000.0,678.0,384.0,0.019,8378.0,0,8731.0,144.0,76.6435569048,119.508052997,484.0,200.370324261,628.0,28074.0,28074.0,15384.0,1019.0,3893.0,19909.0,3019.0,234.0,6628.0,3866.0
