BARTZONE,MTCTAZ
1,505
2,504
3,503
4,504
5,502
6,505
7,506
8,530
9,468
10,530
11,530
12,500
13,500
14,505
15,530
16,506
17,503
18,507
19,504
20,500
21,504
22,504
23,504
24,519
25,504
26,504
27,503
28,503
29,501
30,530
31,501
32,504
33,707
34,504
35,607
36,706
37,706
38,699
39,706
40,697
41,697
42,402
43,402
44,402
45,401
46,712
47,713
48,699
49,713
50,712
51,713
52,713
53,713
54,713
55,712
56,712
57,706
58,712
59,712
60,713
61,713
62,713
63,712
64,713
65,713
66,712
67,712
68,712
69,712
70,712
71,712
72,712
73,712
74,713
75,706
76,706
77,706
78,385
79,385
80,347
81,347
82,714
83,512
84,512
85,697
86,485
87,460
88,460
89,479
90,484
91,485
92,485
93,485
94,485
95,460
96,460
97,460
98,487
99,487
100,487
101,487
102,487
103,347
104,347
105,489
106,479
107,479
108,479
109,484
110,484
111,484
112,484
113,490
114,490
115,490
116,490
117,490
118,486
119,486
120,491
121,491
122,491
123,492
124,492
125,492
126,492
127,489
128,489
129,489
130,489
131,489
132,488
133,488
134,488
135,488
136,488
137,706
138,706
139,706
140,706
141,710
142,710
143,710
144,710
145,710
146,710
147,711
148,711
149,711
150,705
151,705
152,705
153,708
154,708
155,708
156,708
157,708
158,708
159,708
160,708
161,707
162,707
163,708
164,708
165,707
166,707
167,707
168,705
169,705
170,705
171,705
172,705
173,706
174,706
175,706
176,706
177,707
178,707
179,707
180,707
181,710
182,706
183,712
184,712
185,712
186,706
187,707
188,709
189,709
190,709
191,709
192,709
193,709
194,370
195,370
196,370
197,369
198,369
199,371
200,371
201,371
202,370
203,384
204,487
205,386
206,386
207,386
208,385
209,387
210,387
211,387
212,388
213,388
214,384
215,370
216,384
217,369
218,388
219,368
220,368
221,347
222,347
223,509
224,511
225,509
226,514
227,511
228,511
229,507
230,507
231,508
232,508
233,509
234,509
235,511
236,511
237,511
238,511
239,513
240,514
241,514
242,514
243,518
244,511
245,506
246,509
247,511
248,513
249,508
250,518
251,518
252,607
253,606
254,606
255,608
256,406
257,620
258,406
259,406
260,406
261,405
262,612
263,615
264,611
265,610
266,610
267,609
268,609
269,616
270,616
271,617
272,619
273,608
274,619
275,618
276,615
277,615
278,608
279,608
280,607
281,607
282,607
283,607
284,607
285,406
286,406
287,606
288,406
289,406
290,406
291,405
292,613
293,613
294,613
295,614
296,614
297,614
298,612
299,612
300,612
301,611
302,612
303,612
304,610
305,611
306,609
307,617
308,620
309,618
310,615
311,615
312,608
313,607
314,607
315,607
316,608
317,606
318,614
319,608
320,611
321,611
322,606
323,510
324,510
325,702
326,701
327,700
328,702
329,703
330,702
331,713
332,700
333,698
334,698
335,703
336,700
337,701
338,698
339,700
340,702
341,702
342,702
343,702
344,702
345,702
346,702
347,699
348,700
349,700
350,700
351,701
352,698
353,699
354,700
355,703
356,703
357,703
358,700
359,397
360,377
361,399
362,372
363,365
364,365
365,382
366,382
367,390
368,401
369,401
370,401
371,378
372,390
373,390
374,397
375,391
376,398
377,400
378,378
379,378
380,378
381,401
382,379
383,379
384,380
385,374
386,374
387,374
388,389
389,381
390,381
391,389
392,377
393,383
394,389
395,391
396,391
397,381
398,381
399,383
400,372
401,376
402,399
403,397
404,377
405,399
406,397
407,377
408,376
409,373
410,375
411,380
412,379
413,378
414,390
415,398
416,377
417,400
418,378
419,378
420,355
421,349
422,349
423,349
424,355
425,351
426,356
427,356
428,354
429,355
430,356
431,356
432,356
433,356
434,356
435,356
436,356
437,356
438,401
439,363
440,351
441,351
442,351
443,355
444,355
445,355
446,355
447,355
448,354
449,354
450,354
451,347
452,347
453,368
454,368
455,368
456,374
457,367
458,349
459,355
460,356
461,354
462,355
463,355
464,355
465,355
466,356
467,359
468,359
469,360
470,360
471,360
472,363
473,362
474,361
475,361
476,368
477,374
478,347
479,347
480,348
481,347
482,362
483,364
484,363
485,363
486,362
487,362
488,361
489,361
490,360
491,360
492,366
493,367
494,355
495,356
496,356
497,357
498,357
499,357
500,357
501,358
502,358
503,360
504,359
505,359
506,351
507,351
508,351
509,353
510,352
511,350
512,350
513,367
514,349
515,367
516,366
517,366
518,366
519,355
520,355
521,351
522,351
523,401
524,362
525,401
526,358
527,358
528,349
529,364
530,354
531,354
532,356
533,356
534,356
535,356
536,348
537,367
538,412
539,407
540,407
541,604
542,434
543,598
544,661
545,679
546,679
547,583
548,583
549,674
550,564
551,592
552,580
553,475
554,563
555,560
556,556
557,566
558,412
559,697
560,697
561,697
562,697
563,697
564,697
565,697
566,697
567,697
568,697
569,697
570,697
571,697
572,697
573,697
574,697
575,558
576,549
577,558
578,558
579,558
580,560
581,560
582,560
583,562
584,562
585,654
586,654
587,655
588,655
589,655
590,655
591,655
592,655
593,573
594,573
595,572
596,572
597,573
598,569
599,570
600,714
601,499
602,499
603,499
604,480
605,480
606,481
607,481
608,482
609,482
610,483
611,483
612,693
613,682
614,682
615,682
616,682
617,683
618,683
619,686
620,687
621,686
622,685
623,519
624,519
625,519
626,519
627,520
628,520
629,515
630,685
631,687
632,688
633,688
634,688
635,690
636,690
637,689
638,689
639,692
640,691
641,691
642,695
643,657
644,671
645,671
646,671
647,673
648,673
649,672
650,564
651,680
652,680
653,680
654,680
655,679
656,679
657,669
658,668
659,668
660,667
661,666
662,661
663,661
664,661
665,661
666,660
667,660
668,660
669,659
670,659
671,658
672,658
673,657
674,657
675,657
676,664
677,674
678,674
679,663
680,674
681,677
682,677
683,675
684,675
685,675
686,677
687,676
688,677
689,676
690,676
691,676
692,676
693,696
694,696
695,696
696,696
697,693
698,567
699,559
700,559
701,559
702,527
703,527
704,527
705,527
706,696
707,528
708,528
709,528
710,531
711,526
712,526
713,529
714,525
715,564
716,564
717,681
718,681
719,681
720,681
721,566
722,566
723,566
724,566
725,565
726,565
727,565
728,524
729,524
730,523
731,523
732,521
733,521
734,697
735,656
736,697
737,656
738,656
739,656
740,656
741,656
742,655
743,471
744,471
745,478
746,478
747,475
748,475
749,477
750,476
751,476
752,476
753,476
754,543
755,539
756,539
757,539
758,539
759,539
760,542
761,542
762,542
763,542
764,539
765,539
766,557
767,538
768,540
769,540
770,540
771,540
772,541
773,541
774,541
775,541
776,541
777,541
778,541
779,466
780,466
781,466
782,466
783,466
784,535
785,535
786,535
787,535
788,536
789,533
790,467
791,536
792,533
793,533
794,533
795,534
796,534
797,704
798,529
799,521
800,410
801,407
802,435
803,605
804,605
805,648
806,653
807,653
808,660
809,660
810,696
811,676
812,514
813,563
814,563
815,563
816,563
817,696
818,696
819,653
820,632
821,697
822,697
823,697
824,697
825,697
826,695
827,660
828,434
829,560
830,434
831,645
832,646
833,643
834,643
835,644
836,650
837,656
838,605
839,603
840,600
841,601
842,593
843,551
844,553
845,629
846,683
847,682
848,515
849,408
850,478
851,697
852,697
853,697
854,697
855,697
856,697
857,697
858,697
859,697
860,697
861,697
862,697
863,697
864,697
865,697
866,543
867,537
868,537
869,516
870,599
871,517
872,514
873,516
874,518
875,514
876,544
877,409
878,687
879,582
880,678
881,591
882,581
883,541
884,537
885,537
886,537
887,537
888,537
889,537
890,532
891,532
892,477
893,472
894,470
895,467
896,468
897,470
898,473
899,474
900,469
901,535
902,538
903,434
904,404
905,407
906,531
907,521
908,522
909,522
910,522
911,523
912,517
913,515
914,684
915,684
916,524
917,525
918,525
919,526
920,527
921,694
922,661
923,662
924,664
925,665
926,665
927,678
928,672
929,669
930,670
931,571
932,412
933,670
934,568
935,580
936,581
937,649
938,645
939,643
940,638
941,641
942,434
943,648
944,588
945,642
946,637
947,595
948,551
949,603
950,603
951,604
952,605
953,412
954,622
955,624
956,599
957,631
958,409
959,515
960,409
961,409
962,408
963,408
964,408
965,407
966,407
967,407
968,410
969,410
970,409
971,409
972,410
973,408
974,407
975,412
976,412
977,411
978,405
979,404
980,404
981,621
982,621
983,623
984,628
985,628
986,626
987,627
988,627
989,627
990,627
991,625
992,625
993,625
994,625
995,605
996,605
997,605
998,605
999,628
1000,600
1001,600
1002,599
1003,598
1004,598
1005,598
1006,601
1007,601
1008,601
1009,604
1010,602
1011,602
1012,603
1013,631
1014,632
1015,632
1016,557
1017,632
1018,629
1019,630
1020,629
1021,637
1022,637
1023,596
1024,596
1025,597
1026,593
1027,593
1028,633
1029,633
1030,633
1031,635
1032,636
1033,636
1034,595
1035,595
1036,594
1037,594
1038,591
1039,591
1040,591
1041,592
1042,592
1043,589
1044,589
1045,634
1046,634
1047,590
1048,639
1049,639
1050,640
1051,640
1052,587
1053,586
1054,586
1055,584
1056,584
1057,583
1058,583
1059,583
1060,585
1061,582
1062,651
1063,651
1064,642
1065,648
1066,644
1067,647
1068,644
1069,646
1070,647
1071,650
1072,650
1073,652
1074,652
1075,653
1076,653
1077,653
1078,434
1079,435
1080,435
1081,435
1082,435
1083,435
1084,547
1085,547
1086,547
1087,546
1088,546
1089,547
1090,547
1091,547
1092,547
1093,547
1094,546
1095,546
1096,546
1097,546
1098,546
1099,546
1100,547
1101,548
1102,548
1103,548
1104,548
1105,548
1106,548
1107,548
1108,548
1109,548
1110,548
1111,548
1112,548
1113,548
1114,548
1115,548
1116,548
1117,548
1118,550
1119,550
1120,550
1121,550
1122,550
1123,550
1124,550
1125,550
1126,550
1127,549
1128,549
1129,549
1130,549
1131,549
1132,549
1133,549
1134,549
1135,549
1136,554
1137,554
1138,554
1139,554
1140,554
1141,557
1142,557
1143,556
1144,556
1145,556
1146,557
1147,557
1148,557
1149,557
1150,551
1151,551
1152,551
1153,551
1154,552
1155,553
1156,553
1157,555
1158,555
1159,555
1160,555
1161,555
1162,555
1163,555
1164,555
1165,579
1166,579
1167,579
1168,561
1169,561
1170,561
1171,561
1172,561
1173,561
1174,578
1175,578
1176,577
1177,576
1178,576
1179,575
1180,575
1181,574
1182,563
1183,563
1184,563
1185,563
1186,563
1187,563
1188,563
1189,563
1190,567
1191,567
1192,568
1193,558
1194,558
1195,558
1196,558
1197,558
1198,558
1199,558
1200,558
1201,558
1202,558
1203,558
1204,558
1205,558
1206,416
1207,432
1208,432
1209,433
1210,543
1211,433
1212,545
1213,464
1214,432
1215,428
1216,441
