ZONE,DIST,SDIST,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFHH,MFHH,HH1,HH2,HH3,HH4,INC1,INC2,INC3,INC4,MHHINC,TACRES,RESACRE,CIACRE,Z2SHARE,TEMP,RETEMP,SEREMP,OTHEMP,AGEMP,MANEMP,WHOEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65,AGE0513,AGE1417,AGE1824,ESENR,HSENR,COLLENR,COLLENRF,COLLENRP,TAZ1454
1,10,10,3,568,1517,1526,892,380,187,102,110,158,198,14240,34633,56133,117763,66034,67,51,11,0.114,516,102,204,207,1,1,0,75,217,589,504,142,218,89,92,0,0,0,0,0,505
2,10,10,3,125,257,257,160,50,75,33,35,30,27,14334,34034,55023,114156,51328,36,14,18,0.136,512,68,280,37,3,109,15,14,25,110,79,29,27,10,20,0,0,0,0,0,504
3,10,10,3,771,1779,1801,915,252,518,315,177,184,95,11299,34485,56431,107331,39214,184,131,35,0.190,959,159,325,314,1,129,31,132,307,665,520,179,181,80,114,13,0,0,0,0,503
4,10,10,3,216,443,446,276,83,132,57,60,52,47,14334,34034,55023,114156,51328,54,25,17,0.136,377,30,105,75,0,142,25,25,52,186,142,40,58,20,39,322,0,0,0,0,504
5,10,10,3,1577,4284,4324,2304,856,722,369,405,466,339,13685,33166,54576,106879,50730,302,258,44,0.169,723,298,336,80,0,0,8,294,784,1560,1114,572,482,185,296,206,0,0,0,0,502
6,10,10,3,775,2070,2096,1218,518,257,139,150,215,271,14240,34633,56133,117763,66034,203,189,3,0.114,37,0,12,23,1,1,0,142,445,678,611,221,283,122,172,53,0,0,0,0,505
7,10,10,3,725,1853,1872,976,514,211,218,107,174,225,12369,34211,55181,113784,57437,175,149,24,0.197,1572,93,1319,82,1,63,14,123,362,448,578,360,208,69,97,114,0,0,0,0,506
8,11,11,3,408,870,895,512,145,265,99,93,131,85,14943,34025,54733,114992,53037,131,119,9,0.168,237,99,89,29,0,16,4,36,189,195,310,165,78,23,79,0,0,0,0,0,530
9,10,10,3,1283,3231,3243,1691,499,784,351,405,264,264,13426,33879,52924,106191,47092,176,125,51,0.161,1139,267,625,216,3,4,23,233,538,1391,751,331,365,97,266,685,0,0,0,0,468
10,11,11,3,663,1413,1433,832,235,430,160,150,214,139,14943,34025,54733,114992,53037,170,143,9,0.168,355,66,131,112,0,39,7,104,194,444,434,257,116,48,49,299,0,0,0,0,530
11,11,11,3,131,279,279,165,47,85,31,29,42,28,14943,34025,54733,114992,53037,98,15,46,0.168,4810,1376,1782,1008,0,560,84,16,28,152,56,27,21,9,14,0,0,0,0,0,530
12,10,10,3,761,2239,2259,1218,690,71,121,142,175,322,13772,34652,56605,125365,74787,225,199,13,0.131,6,0,0,0,4,2,0,143,479,631,747,258,253,154,125,0,0,0,0,0,500
13,10,10,3,343,1009,1017,549,312,31,55,64,79,145,13772,34652,56605,125365,74787,72,66,5,0.131,395,196,195,3,1,0,0,64,196,324,320,112,149,45,64,0,0,0,0,0,500
14,10,10,3,676,1806,1806,1062,449,227,121,131,187,236,14240,34633,56133,117763,66034,155,154,1,0.114,56,10,13,32,1,0,0,106,329,593,586,192,246,98,120,0,0,0,0,0,505
15,11,11,3,1348,2868,2884,1691,477,870,325,306,434,282,14943,34025,54733,114992,53037,157,89,44,0.168,3500,288,517,1337,168,1023,168,134,233,1590,600,327,229,151,222,0,0,0,0,0,530
16,10,10,3,153,393,398,206,109,44,46,23,38,47,12369,34211,55181,113784,57437,55,36,14,0.197,515,156,291,25,1,36,6,22,65,85,159,67,50,12,19,0,0,0,0,0,506
17,10,10,3,1007,2323,2347,1197,327,678,411,231,239,124,11299,34485,56431,107331,39214,80,70,10,0.190,852,661,9,36,1,117,28,167,401,1095,472,212,233,107,178,0,0,0,0,0,503
18,10,10,3,196,469,476,243,167,29,36,22,30,107,13156,33610,55611,144657,93653,65,45,1,0.247,263,1,173,45,3,42,0,36,100,118,134,87,38,26,10,958,0,0,0,0,507
19,10,10,3,2,4,4,3,1,1,1,1,0,0,14334,34034,55023,114156,51328,148,0,59,0.136,1506,68,339,172,0,823,104,1,1,0,3,0,0,0,0,0,0,0,0,0,504
20,10,10,3,226,666,672,362,205,21,36,42,52,96,13772,34652,56605,125365,74787,97,45,25,0.131,102,0,0,102,0,0,0,41,136,219,185,92,101,28,42,0,1772,0,0,0,500
21,10,10,3,243,498,503,311,104,139,65,67,58,53,14334,34034,55023,114156,51328,32,24,7,0.136,228,15,116,35,0,55,6,19,47,265,134,38,47,15,23,0,0,0,0,0,504
22,10,10,3,604,1238,1249,772,259,345,159,169,144,132,14334,34034,55023,114156,51328,89,55,29,0.136,734,94,308,158,0,155,19,69,129,478,320,253,100,42,46,253,151,0,0,0,504
23,10,10,3,3,6,6,4,1,2,1,1,1,1,14334,34034,55023,114156,51328,54,0,47,0.136,1006,62,195,128,3,533,86,0,0,3,1,2,1,0,0,0,0,0,0,0,504
24,10,10,3,1010,2540,2575,1356,727,283,245,181,287,299,10819,34359,55391,110580,57100,210,128,32,0.186,1548,71,1285,15,0,175,2,200,348,933,745,350,301,99,131,0,0,0,0,0,519
25,10,10,3,159,331,331,203,51,108,43,44,37,34,14334,34034,55023,114156,51328,61,17,29,0.136,1044,57,154,93,3,677,61,14,44,120,104,49,46,186,104,0,0,0,0,0,504
26,10,10,3,542,1114,1115,693,214,327,143,152,129,117,14334,34034,55023,114156,51328,90,50,38,0.136,995,55,204,123,6,532,75,56,140,531,262,127,108,41,87,0,0,0,0,0,504
27,10,10,3,398,919,919,473,129,269,163,92,95,49,11299,34485,56431,107331,39214,53,35,13,0.190,300,48,77,74,1,80,20,68,117,390,246,98,71,40,76,41,0,0,0,0,503
28,10,10,3,512,1183,1193,609,168,345,209,118,122,64,11299,34485,56431,107331,39214,98,70,13,0.190,189,80,23,42,1,35,8,56,127,301,338,371,94,52,123,912,0,0,0,0,503
29,10,10,3,393,1134,1145,586,368,24,77,48,122,146,14094,35250,54812,113878,66302,98,87,7,0.187,297,132,75,79,1,5,4,68,222,332,377,145,130,59,69,0,0,0,0,0,501
30,11,11,3,881,1877,1894,1105,311,570,212,200,284,184,14943,34025,54733,114992,53037,75,52,15,0.168,749,110,333,186,0,103,16,136,259,943,412,144,120,63,121,0,0,0,0,0,530
31,10,10,3,948,2739,2767,1415,890,57,187,116,294,351,14094,35250,54812,113878,66302,225,214,2,0.187,44,0,42,1,1,0,0,178,511,791,856,431,340,124,158,0,0,0,0,0,501
32,10,10,3,180,369,371,230,76,104,47,50,44,39,14334,34034,55023,114156,51328,59,16,19,0.136,1092,149,310,445,0,167,20,35,46,164,104,22,26,13,14,0,0,0,0,0,504
33,14,14,3,356,1427,1438,613,170,186,159,107,64,25,12659,33432,52119,90338,31496,150,80,47,0.118,467,38,186,104,0,123,15,145,392,594,226,81,393,112,306,364,0,0,0,0,707
34,10,10,3,191,394,394,245,74,117,50,54,46,41,14334,34034,55023,114156,51328,39,24,9,0.136,100,29,48,13,0,3,7,19,47,156,130,43,47,18,35,0,0,0,0,0,504
35,12,12,3,0,0,0,0,0,0,0,0,0,0,16102,32551,55940,102623,48987,10,0,9,0.057,71,8,37,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607
36,14,14,3,3,10,10,5,3,0,1,1,1,1,16195,33078,57126,111572,46193,69,1,3,0.128,1,0,0,0,0,0,1,0,5,3,1,2,2,1,0,0,0,0,0,0,706
37,14,14,3,18,59,60,30,16,2,7,5,4,4,16195,33078,57126,111572,46193,428,1,4,0.128,28,0,0,0,27,0,1,9,14,23,10,5,9,4,5,0,0,0,0,0,706
