TAZ,TAZ1454
2337,1005.0
2331,999.0
2330,998.0
2332,1000.0
2333,1001.0
2329,997.0
2328,996.0
2325,993.0
2324,992.0
2309,977.0
2308,976.0
2307,975.0
2311,979.0
2310,978.0
2322,990.0
2321,989.0
2320,988.0
2319,987.0
2297,965.0
2298,966.0
2317,985.0
2318,986.0
2316,984.0
2315,983.0
2314,982.0
2313,981.0
2312,980.0
2302,970.0
2303,971.0
2300,968.0
2301,969.0
2299,967.0
2278,946.0
2277,945.0
2304,972.0
2273,941.0
2274,942.0
2271,939.0
2272,940.0
2305,973.0
2306,974.0
2248,916.0
2247,915.0
2246,914.0
2251,919.0
2245,913.0
2244,912.0
2252,920.0
2253,921.0
2254,922.0
2269,937.0
2270,938.0
2275,943.0
2276,944.0
2266,934.0
2267,935.0
2268,936.0
2263,931.0
2264,932.0
2265,933.0
2279,947.0
2258,926.0
2260,928.0
2259,927.0
2261,929.0
2262,930.0
2256,924.0
2255,923.0
2242,910.0
2241,909.0
2240,908.0
2238,906.0
2237,905.0
2257,925.0
2228,896.0
2229,897.0
2230,898.0
2236,904.0
2235,903.0
2234,902.0
2239,907.0
2243,911.0
2217,885.0
2233,901.0
2218,886.0
2221,889.0
2222,890.0
2232,900.0
2231,899.0
2227,895.0
2226,894.0
2208,876.0
2209,877.0
2210,878.0
2224,892.0
2225,893.0
2223,891.0
2220,888.0
2219,887.0
2216,884.0
2215,883.0
2214,882.0
2213,881.0
2212,880.0
2211,879.0
2367,1035.0
2368,1036.0
2371,1039.0
2370,1038.0
2369,1037.0
2366,1034.0
2362,1030.0
2363,1031.0
2365,1033.0
2364,1032.0
2361,1029.0
2360,1028.0
2359,1027.0
2358,1026.0
2357,1025.0
2346,1014.0
2356,1024.0
2355,1023.0
2354,1022.0
2353,1021.0
2352,1020.0
2351,1019.0
2339,1007.0
2340,1008.0
2350,1018.0
2349,1017.0
2348,1016.0
2347,1015.0
2345,1013.0
2344,1012.0
2343,1011.0
2342,1010.0
2341,1009.0
2338,1006.0
2336,1004.0
2334,1002.0
2335,1003.0
2327,995.0
2326,994.0
2323,991.0
2250,918.0
2249,917.0
2281,949.0
2280,948.0
2292,960.0
2293,961.0
2296,964.0
2294,962.0
2295,963.0
2291,959.0
2288,956.0
2287,955.0
2282,950.0
2283,951.0
2284,952.0
2285,953.0
2286,954.0
2289,957.0
2290,958.0
2176,844.0
2177,845.0
2182,850.0
2183,851.0
2185,853.0
2184,852.0
2181,849.0
2178,846.0
2180,848.0
2179,847.0
2174,842.0
2172,840.0
2200,868.0
2201,869.0
2202,870.0
